@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
41.0, 17.0, 10.0, 16.0, 56.0
17.0, 56.0, 149.0, 41.0, 14.0
8.0, 196.0, 32.0, 11.0, 8.0
196.0, 8.0, 17.0, 66.0, 207.0
7.0, 131.0, 10.0, 7.0, 6.0
30.0, 12.0, 193.0, 172.0, 39.0
6.0, 172.0, 11.0, 7.0, 6.0
86.0, 8.0, 4.0, 3.0, 2.0
8.0, 2.0, 7.0, 23.0, 8.0
2.0, 6.0, 16.0, 33.0, 57.0
23.0, 16.0, 57.0, 65.0, 56.0
8.0, 65.0, 46.0, 46.0, 54.0
64.0, 46.0, 58.0, 67.0, 67.0
59.0, 58.0, 67.0, 60.0, 50.0
60.0, 50.0, 52.0, 61.0, 71.0
69.0, 46.0, 61.0, 71.0, 68.0
68.0, 52.0, 71.0, 68.0, 58.0
58.0, 61.0, 68.0, 58.0, 48.0
46.0, 68.0, 47.0, 45.0, 53.0
53.0, 56.0, 45.0, 53.0, 65.0
65.0, 46.0, 55.0, 67.0, 74.0
67.0, 55.0, 74.0, 66.0, 54.0
55.0, 54.0, 46.0, 55.0, 70.0
67.0, 44.0, 55.0, 70.0, 76.0
76.0, 46.0, 73.0, 77.0, 65.0
51.0, 73.0, 65.0, 52.0, 44.0
45.0, 77.0, 52.0, 44.0, 46.0
73.0, 44.0, 59.0, 75.0, 78.0
64.0, 61.0, 79.0, 63.0, 47.0
63.0, 63.0, 79.0, 61.0, 46.0
46.0, 84.0, 60.0, 46.0, 42.0
60.0, 68.0, 80.0, 59.0, 43.0
80.0, 50.0, 88.0, 79.0, 56.0
56.0, 73.0, 78.0, 55.0, 41.0
41.0, 91.0, 55.0, 41.0, 40.0
52.0, 54.0, 40.0, 52.0, 79.0
94.0, 40.0, 79.0, 95.0, 76.0
52.0, 50.0, 38.0, 52.0, 80.0
95.0, 38.0, 80.0, 97.0, 76.0
97.0, 37.0, 83.0, 98.0, 74.0
76.0, 54.0, 98.0, 74.0, 47.0
37.0, 74.0, 34.0, 37.0, 53.0
83.0, 34.0, 53.0, 85.0, 100.0
74.0, 53.0, 100.0, 74.0, 45.0
54.0, 43.0, 35.0, 53.0, 88.0
72.0, 53.0, 103.0, 73.0, 43.0
53.0, 41.0, 33.0, 54.0, 91.0
72.0, 51.0, 111.0, 74.0, 41.0
30.0, 111.0, 41.0, 29.0, 31.0
111.0, 31.0, 93.0, 113.0, 75.0
113.0, 30.0, 92.0, 118.0, 78.0
30.0, 78.0, 28.0, 29.0, 46.0
78.0, 46.0, 120.0, 82.0, 42.0
28.0, 120.0, 42.0, 29.0, 28.0
46.0, 42.0, 28.0, 45.0, 88.0
29.0, 124.0, 43.0, 27.0, 27.0
124.0, 27.0, 83.0, 126.0, 91.0
86.0, 41.0, 126.0, 91.0, 45.0
41.0, 45.0, 26.0, 38.0, 78.0
38.0, 47.0, 24.0, 35.0, 72.0
78.0, 27.0, 35.0, 72.0, 126.0
24.0, 106.0, 28.0, 23.0, 32.0
106.0, 32.0, 123.0, 116.0, 56.0
29.0, 117.0, 64.0, 30.0, 22.0
28.0, 64.0, 22.0, 27.0, 49.0
49.0, 32.0, 23.0, 41.0, 95.0
133.0, 23.0, 95.0, 140.0, 84.0
74.0, 41.0, 140.0, 84.0, 36.0
23.0, 84.0, 21.0, 21.0, 35.0
95.0, 21.0, 35.0, 80.0, 141.0
140.0, 21.0, 80.0, 141.0, 99.0
35.0, 42.0, 20.0, 29.0, 67.0
42.0, 67.0, 117.0, 49.0, 24.0
29.0, 49.0, 18.0, 25.0, 52.0
18.0, 134.0, 26.0, 18.0, 20.0
122.0, 18.0, 41.0, 104.0, 148.0
18.0, 151.0, 39.0, 19.0, 17.0
32.0, 39.0, 17.0, 25.0, 62.0
62.0, 22.0, 21.0, 44.0, 116.0
52.0, 44.0, 150.0, 71.0, 27.0
21.0, 71.0, 18.0, 18.0, 32.0
150.0, 18.0, 88.0, 159.0, 98.0
27.0, 88.0, 98.0, 36.0, 19.0
18.0, 98.0, 19.0, 16.0, 25.0
159.0, 16.0, 61.0, 146.0, 132.0
113.0, 16.0, 28.0, 77.0, 163.0
28.0, 77.0, 114.0, 39.0, 19.0
16.0, 163.0, 39.0, 19.0, 15.0
28.0, 39.0, 15.0, 20.0, 47.0
77.0, 19.0, 20.0, 47.0, 132.0
39.0, 47.0, 156.0, 62.0, 24.0
16.0, 102.0, 16.0, 13.0, 19.0
30.0, 34.0, 13.0, 19.0, 50.0
173.0, 13.0, 50.0, 141.0, 154.0
102.0, 19.0, 141.0, 154.0, 57.0
21.0, 87.0, 103.0, 33.0, 15.0
18.0, 61.0, 12.0, 13.0, 23.0
