@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
35.0, 75.0, 34.0, 34.0, 49.0
99.0, 33.0, 83.0, 101.0, 74.0
33.0, 74.0, 32.0, 33.0, 50.0
49.0, 44.0, 33.0, 50.0, 85.0
74.0, 50.0, 103.0, 73.0, 43.0
44.0, 85.0, 73.0, 43.0, 30.0
30.0, 106.0, 43.0, 31.0, 31.0
30.0, 76.0, 28.0, 30.0, 47.0
47.0, 41.0, 30.0, 47.0, 88.0
76.0, 47.0, 114.0, 79.0, 41.0
30.0, 79.0, 28.0, 28.0, 45.0
79.0, 45.0, 117.0, 82.0, 42.0
86.0, 26.0, 43.0, 84.0, 119.0
82.0, 43.0, 119.0, 85.0, 42.0
25.0, 90.0, 26.0, 24.0, 36.0
80.0, 26.0, 36.0, 76.0, 123.0
43.0, 76.0, 96.0, 46.0, 26.0
76.0, 26.0, 35.0, 72.0, 123.0
46.0, 72.0, 102.0, 50.0, 27.0
50.0, 64.0, 110.0, 53.0, 27.0
64.0, 27.0, 28.0, 57.0, 117.0
110.0, 28.0, 117.0, 120.0, 59.0
53.0, 57.0, 120.0, 59.0, 28.0
21.0, 120.0, 28.0, 20.0, 25.0
25.0, 68.0, 20.0, 23.0, 43.0
20.0, 135.0, 34.0, 22.0, 22.0
36.0, 38.0, 19.0, 30.0, 73.0
86.0, 21.0, 30.0, 73.0, 137.0
21.0, 137.0, 44.0, 23.0, 19.0
125.0, 22.0, 114.0, 140.0, 68.0
18.0, 140.0, 28.0, 18.0, 19.0
19.0, 147.0, 43.0, 20.0, 16.0
18.0, 112.0, 20.0, 16.0, 23.0
20.0, 131.0, 58.0, 24.0, 16.0
58.0, 38.0, 156.0, 80.0, 30.0
28.0, 40.0, 15.0, 21.0, 51.0
145.0, 17.0, 96.0, 164.0, 89.0
59.0, 32.0, 164.0, 89.0, 30.0
22.0, 96.0, 89.0, 30.0, 16.0
164.0, 14.0, 62.0, 153.0, 130.0
113.0, 14.0, 24.0, 68.0, 164.0
165.0, 13.0, 68.0, 164.0, 123.0
24.0, 40.0, 13.0, 16.0, 38.0
164.0, 13.0, 38.0, 118.0, 170.0
13.0, 170.0, 24.0, 13.0, 12.0
16.0, 71.0, 13.0, 12.0, 22.0
118.0, 13.0, 22.0, 65.0, 167.0
22.0, 40.0, 12.0, 14.0, 33.0
65.0, 16.0, 14.0, 33.0, 107.0
40.0, 33.0, 182.0, 81.0, 24.0
16.0, 107.0, 81.0, 24.0, 12.0
12.0, 182.0, 24.0, 12.0, 11.0
24.0, 51.0, 155.0, 49.0, 17.0
11.0, 189.0, 32.0, 13.0, 9.0
189.0, 9.0, 30.0, 107.0, 197.0
10.0, 134.0, 64.0, 18.0, 10.0
148.0, 9.0, 10.0, 29.0, 132.0
220.0, 6.0, 14.0, 66.0, 237.0
6.0, 237.0, 25.0, 9.0, 6.0
7.0, 137.0, 9.0, 6.0, 5.0
25.0, 12.0, 7.0, 7.0, 18.0
7.0, 109.0, 12.0, 10.0, 14.0
80.0, 12.0, 14.0, 38.0, 128.0
109.0, 14.0, 128.0, 169.0, 63.0
14.0, 63.0, 11.0, 11.0, 23.0
11.0, 114.0, 14.0, 11.0, 14.0
114.0, 14.0, 122.0, 172.0, 67.0
14.0, 122.0, 67.0, 21.0, 11.0
172.0, 11.0, 64.0, 169.0, 131.0
169.0, 9.0, 28.0, 100.0, 188.0
100.0, 11.0, 14.0, 41.0, 141.0
188.0, 10.0, 41.0, 141.0, 176.0
10.0, 176.0, 17.0, 10.0, 10.0
16.0, 41.0, 8.0, 9.0, 18.0
56.0, 14.0, 9.0, 18.0, 67.0
41.0, 18.0, 196.0, 130.0, 32.0
14.0, 67.0, 130.0, 32.0, 11.0
9.0, 130.0, 11.0, 8.0, 7.0
18.0, 32.0, 8.0, 7.0, 17.0
130.0, 7.0, 66.0, 207.0, 131.0
32.0, 17.0, 207.0, 131.0, 30.0
66.0, 10.0, 6.0, 12.0, 48.0
39.0, 6.0, 86.0, 255.0, 107.0
16.0, 19.0, 5.0, 4.0, 3.0
19.0, 3.0, 2.0, 7.0, 23.0
7.0, 8.0, 33.0, 57.0, 65.0
65.0, 54.0, 66.0, 59.0, 49.0
49.0, 67.0, 60.0, 50.0, 47.0
46.0, 67.0, 50.0, 47.0, 51.0
50.0, 69.0, 58.0, 50.0, 46.0
50.0, 71.0, 58.0, 48.0, 46.0
72.0, 45.0, 65.0, 73.0, 67.0
56.0, 65.0, 67.0, 54.0, 46.0
47.0, 73.0, 54.0, 46.0, 46.0
73.0, 46.0, 67.0, 74.0, 66.0
54.0, 67.0, 66.0, 54.0, 44.0
46.0, 66.0, 44.0, 46.0, 55.0
55.0, 51.0, 46.0, 58.0, 73.0
77.0, 46.0, 75.0, 78.0, 64.0
44.0, 78.0, 49.0, 43.0, 47.0
61.0, 47.0, 47.0, 63.0, 80.0
47.0, 80.0, 61.0, 46.0, 42.0
47.0, 61.0, 42.0, 48.0, 66.0
61.0, 66.0, 80.0, 60.0, 46.0
66.0, 46.0, 50.0, 68.0, 86.0
41.0, 79.0, 41.0, 41.0, 51.0
50.0, 56.0, 41.0, 51.0, 73.0
71.0, 41.0, 51.0, 73.0, 91.0
41.0, 78.0, 41.0, 40.0, 52.0
54.0, 79.0, 76.0, 50.0, 37.0
50.0, 80.0, 76.0, 50.0, 36.0
50.0, 83.0, 74.0, 47.0, 34.0
100.0, 35.0, 87.0, 103.0, 72.0
33.0, 103.0, 43.0, 32.0, 33.0
53.0, 43.0, 33.0, 53.0, 91.0
43.0, 91.0, 72.0, 41.0, 31.0
32.0, 105.0, 41.0, 31.0, 33.0
31.0, 108.0, 41.0, 30.0, 32.0
91.0, 30.0, 51.0, 93.0, 111.0
108.0, 32.0, 93.0, 111.0, 74.0
51.0, 41.0, 31.0, 51.0, 93.0
31.0, 75.0, 29.0, 30.0, 49.0
75.0, 49.0, 118.0, 78.0, 41.0
40.0, 92.0, 78.0, 41.0, 28.0
92.0, 28.0, 46.0, 90.0, 120.0
120.0, 28.0, 88.0, 124.0, 86.0
88.0, 27.0, 41.0, 83.0, 126.0
47.0, 72.0, 106.0, 52.0, 28.0
27.0, 126.0, 52.0, 28.0, 23.0
126.0, 23.0, 65.0, 123.0, 116.0
84.0, 35.0, 141.0, 99.0, 42.0
21.0, 99.0, 22.0, 20.0, 29.0
141.0, 20.0, 67.0, 135.0, 117.0
67.0, 24.0, 25.0, 52.0, 122.0
135.0, 18.0, 52.0, 122.0, 134.0
25.0, 62.0, 18.0, 20.0, 41.0
148.0, 19.0, 82.0, 151.0, 100.0
79.0, 32.0, 151.0, 100.0, 39.0
32.0, 82.0, 100.0, 39.0, 19.0
82.0, 19.0, 25.0, 62.0, 140.0
100.0, 25.0, 140.0, 128.0, 52.0
39.0, 62.0, 128.0, 52.0, 22.0
98.0, 25.0, 146.0, 132.0, 52.0
19.0, 146.0, 52.0, 21.0, 17.0
16.0, 132.0, 21.0, 17.0, 19.0
25.0, 52.0, 17.0, 19.0, 41.0
52.0, 41.0, 161.0, 76.0, 28.0
76.0, 28.0, 163.0, 114.0, 39.0
163.0, 15.0, 47.0, 132.0, 156.0
34.0, 50.0, 154.0, 57.0, 21.0
16.0, 141.0, 57.0, 21.0, 13.0
154.0, 14.0, 87.0, 179.0, 103.0
87.0, 15.0, 18.0, 45.0, 136.0
45.0, 20.0, 13.0, 23.0, 0.0
