@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
60.0, 60.0, 68.0, 58.0, 50.0
53.0, 54.0, 46.0, 55.0, 67.0
74.0, 46.0, 70.0, 76.0, 66.0
46.0, 66.0, 45.0, 46.0, 58.0
46.0, 65.0, 44.0, 46.0, 59.0
52.0, 75.0, 64.0, 49.0, 43.0
59.0, 49.0, 47.0, 61.0, 78.0
43.0, 79.0, 47.0, 43.0, 47.0
79.0, 47.0, 80.0, 79.0, 61.0
79.0, 48.0, 84.0, 80.0, 60.0
80.0, 50.0, 86.0, 80.0, 59.0
46.0, 86.0, 59.0, 43.0, 41.0
86.0, 41.0, 71.0, 88.0, 79.0
59.0, 71.0, 79.0, 56.0, 41.0
88.0, 41.0, 73.0, 91.0, 78.0
79.0, 51.0, 91.0, 78.0, 55.0
91.0, 40.0, 75.0, 94.0, 78.0
55.0, 75.0, 78.0, 54.0, 39.0
75.0, 39.0, 52.0, 79.0, 95.0
78.0, 52.0, 95.0, 76.0, 50.0
39.0, 95.0, 50.0, 37.0, 38.0
37.0, 97.0, 50.0, 36.0, 37.0
52.0, 50.0, 37.0, 54.0, 83.0
54.0, 47.0, 37.0, 53.0, 85.0
98.0, 37.0, 85.0, 100.0, 74.0
47.0, 85.0, 74.0, 45.0, 34.0
45.0, 87.0, 72.0, 43.0, 33.0
33.0, 72.0, 30.0, 32.0, 51.0
93.0, 29.0, 49.0, 92.0, 118.0
29.0, 118.0, 41.0, 28.0, 29.0
49.0, 41.0, 29.0, 46.0, 90.0
82.0, 45.0, 124.0, 86.0, 43.0
45.0, 43.0, 27.0, 41.0, 83.0
27.0, 91.0, 27.0, 26.0, 38.0
126.0, 26.0, 78.0, 127.0, 99.0
127.0, 24.0, 72.0, 126.0, 106.0
99.0, 35.0, 126.0, 106.0, 52.0
52.0, 65.0, 116.0, 56.0, 29.0
28.0, 123.0, 56.0, 29.0, 22.0
32.0, 56.0, 22.0, 28.0, 56.0
22.0, 126.0, 30.0, 22.0, 27.0
64.0, 49.0, 133.0, 74.0, 32.0
30.0, 107.0, 74.0, 32.0, 21.0
32.0, 95.0, 84.0, 36.0, 21.0
36.0, 80.0, 99.0, 42.0, 22.0
80.0, 22.0, 29.0, 67.0, 135.0
20.0, 117.0, 24.0, 18.0, 25.0
117.0, 25.0, 122.0, 134.0, 62.0
24.0, 122.0, 62.0, 26.0, 18.0
134.0, 20.0, 104.0, 148.0, 79.0
18.0, 148.0, 32.0, 18.0, 19.0
20.0, 79.0, 18.0, 19.0, 32.0
104.0, 18.0, 32.0, 82.0, 151.0
25.0, 52.0, 17.0, 21.0, 44.0
22.0, 116.0, 71.0, 27.0, 18.0
36.0, 61.0, 132.0, 52.0, 21.0
21.0, 113.0, 76.0, 28.0, 16.0
19.0, 76.0, 16.0, 16.0, 28.0
114.0, 20.0, 132.0, 156.0, 62.0
86.0, 16.0, 19.0, 50.0, 141.0
13.0, 154.0, 21.0, 13.0, 14.0
14.0, 103.0, 15.0, 12.0, 18.0
103.0, 18.0, 136.0, 166.0, 61.0
33.0, 45.0, 166.0, 61.0, 20.0
15.0, 136.0, 61.0, 20.0, 12.0
