@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
10.0, 169.0, 20.0, 11.0, 11.0
20.0, 74.0, 114.0, 34.0, 14.0
11.0, 131.0, 13.0, 9.0, 12.0
20.0, 39.0, 9.0, 12.0, 28.0
9.0, 188.0, 25.0, 11.0, 10.0
12.0, 88.0, 11.0, 10.0, 14.0
28.0, 25.0, 10.0, 14.0, 41.0
25.0, 41.0, 176.0, 57.0, 17.0
14.0, 57.0, 10.0, 10.0, 16.0
57.0, 16.0, 175.0, 149.0, 41.0
149.0, 9.0, 67.0, 196.0, 130.0
12.0, 39.0, 7.0, 6.0, 6.0
6.0, 107.0, 8.0, 5.0, 4.0
107.0, 4.0, 2.0, 2.0, 7.0
3.0, 23.0, 6.0, 8.0, 16.0
33.0, 46.0, 54.0, 64.0, 66.0
67.0, 47.0, 60.0, 69.0, 68.0
47.0, 68.0, 50.0, 46.0, 52.0
46.0, 68.0, 48.0, 46.0, 53.0
52.0, 58.0, 46.0, 53.0, 64.0
71.0, 46.0, 64.0, 72.0, 68.0
48.0, 72.0, 56.0, 47.0, 45.0
64.0, 47.0, 53.0, 65.0, 73.0
46.0, 74.0, 54.0, 44.0, 46.0
66.0, 55.0, 76.0, 66.0, 51.0
70.0, 45.0, 58.0, 73.0, 77.0
58.0, 52.0, 46.0, 59.0, 75.0
46.0, 64.0, 43.0, 47.0, 61.0
47.0, 63.0, 43.0, 47.0, 63.0
78.0, 43.0, 63.0, 80.0, 79.0
63.0, 46.0, 48.0, 66.0, 84.0
80.0, 42.0, 66.0, 84.0, 80.0
84.0, 42.0, 68.0, 86.0, 80.0
42.0, 80.0, 43.0, 41.0, 50.0
50.0, 59.0, 41.0, 50.0, 71.0
78.0, 52.0, 94.0, 78.0, 54.0
41.0, 94.0, 54.0, 39.0, 40.0
38.0, 76.0, 36.0, 37.0, 54.0
34.0, 100.0, 45.0, 34.0, 35.0
85.0, 34.0, 54.0, 87.0, 103.0
74.0, 54.0, 103.0, 72.0, 43.0
34.0, 103.0, 43.0, 33.0, 35.0
35.0, 72.0, 33.0, 35.0, 53.0
87.0, 33.0, 53.0, 88.0, 103.0
43.0, 88.0, 73.0, 43.0, 32.0
35.0, 73.0, 32.0, 33.0, 53.0
88.0, 32.0, 53.0, 91.0, 105.0
73.0, 53.0, 105.0, 72.0, 41.0
33.0, 72.0, 31.0, 33.0, 54.0
72.0, 54.0, 108.0, 72.0, 41.0
41.0, 93.0, 74.0, 41.0, 29.0
32.0, 74.0, 29.0, 31.0, 51.0
51.0, 40.0, 30.0, 49.0, 92.0
90.0, 29.0, 45.0, 88.0, 124.0
43.0, 83.0, 91.0, 45.0, 27.0
91.0, 38.0, 127.0, 99.0, 47.0
45.0, 78.0, 99.0, 47.0, 27.0
26.0, 99.0, 27.0, 24.0, 35.0
35.0, 52.0, 23.0, 32.0, 65.0
56.0, 30.0, 27.0, 49.0, 107.0
117.0, 22.0, 49.0, 107.0, 133.0
22.0, 133.0, 32.0, 21.0, 23.0
27.0, 74.0, 21.0, 23.0, 41.0
107.0, 21.0, 41.0, 95.0, 140.0
21.0, 140.0, 36.0, 21.0, 21.0
41.0, 36.0, 21.0, 35.0, 80.0
21.0, 141.0, 42.0, 22.0, 20.0
99.0, 29.0, 135.0, 117.0, 49.0
22.0, 135.0, 49.0, 24.0, 18.0
49.0, 52.0, 134.0, 62.0, 26.0
62.0, 41.0, 148.0, 79.0, 32.0
26.0, 104.0, 79.0, 32.0, 18.0
41.0, 32.0, 19.0, 32.0, 82.0
19.0, 140.0, 52.0, 22.0, 17.0
17.0, 128.0, 22.0, 17.0, 21.0
140.0, 17.0, 44.0, 116.0, 150.0
128.0, 21.0, 116.0, 150.0, 71.0
17.0, 150.0, 27.0, 18.0, 18.0
44.0, 27.0, 18.0, 32.0, 88.0
71.0, 32.0, 159.0, 98.0, 36.0
146.0, 17.0, 41.0, 113.0, 161.0
132.0, 19.0, 113.0, 161.0, 76.0
17.0, 161.0, 28.0, 16.0, 16.0
16.0, 114.0, 19.0, 15.0, 20.0
19.0, 132.0, 62.0, 24.0, 15.0
47.0, 24.0, 16.0, 30.0, 86.0
132.0, 15.0, 30.0, 86.0, 173.0
62.0, 30.0, 173.0, 102.0, 34.0
50.0, 21.0, 14.0, 27.0, 87.0
27.0, 33.0, 12.0, 18.0, 45.0
12.0, 166.0, 20.0, 12.0, 13.0
