@relation laser
@attribute Input1 real [2.0, 255.0]
@attribute Input2 real [2.0, 255.0]
@attribute Input3 real [2.0, 255.0]
@attribute Input4 real [2.0, 255.0]
@attribute Output real [0.0, 255.0]
@inputs Input1, Input2, Input3, Input4
@outputs Output
@data
23.0, 34.0, 11.0, 14.0, 37.0
74.0, 14.0, 14.0, 37.0, 122.0
173.0, 11.0, 37.0, 122.0, 172.0
11.0, 172.0, 21.0, 11.0, 11.0
37.0, 21.0, 11.0, 20.0, 64.0
11.0, 169.0, 39.0, 13.0, 9.0
64.0, 13.0, 12.0, 28.0, 100.0
176.0, 10.0, 56.0, 175.0, 149.0
67.0, 11.0, 7.0, 17.0, 66.0
11.0, 66.0, 131.0, 30.0, 10.0
7.0, 193.0, 39.0, 11.0, 7.0
48.0, 11.0, 6.0, 6.0, 16.0
172.0, 6.0, 16.0, 86.0, 255.0
5.0, 2.0, 23.0, 8.0, 6.0
2.0, 8.0, 8.0, 16.0, 33.0
8.0, 33.0, 65.0, 56.0, 46.0
57.0, 46.0, 64.0, 66.0, 59.0
54.0, 49.0, 48.0, 58.0, 67.0
51.0, 58.0, 46.0, 52.0, 61.0
61.0, 48.0, 53.0, 64.0, 72.0
68.0, 53.0, 72.0, 68.0, 56.0
58.0, 64.0, 68.0, 56.0, 47.0
68.0, 53.0, 73.0, 67.0, 54.0
45.0, 67.0, 46.0, 46.0, 55.0
54.0, 70.0, 66.0, 51.0, 45.0
44.0, 76.0, 51.0, 45.0, 46.0
66.0, 58.0, 77.0, 65.0, 52.0
65.0, 59.0, 78.0, 64.0, 49.0
75.0, 43.0, 61.0, 78.0, 79.0
78.0, 47.0, 78.0, 79.0, 63.0
49.0, 78.0, 63.0, 47.0, 43.0
43.0, 79.0, 46.0, 42.0, 48.0
42.0, 80.0, 46.0, 42.0, 50.0
48.0, 60.0, 42.0, 50.0, 68.0
68.0, 43.0, 50.0, 71.0, 88.0
43.0, 88.0, 56.0, 41.0, 41.0
51.0, 55.0, 40.0, 52.0, 75.0
73.0, 41.0, 52.0, 75.0, 94.0
40.0, 78.0, 39.0, 40.0, 52.0
40.0, 76.0, 37.0, 38.0, 52.0
79.0, 37.0, 52.0, 80.0, 97.0
76.0, 52.0, 97.0, 76.0, 50.0
80.0, 36.0, 54.0, 83.0, 98.0
36.0, 98.0, 47.0, 34.0, 37.0
37.0, 74.0, 34.0, 35.0, 54.0
53.0, 45.0, 35.0, 54.0, 87.0
103.0, 35.0, 88.0, 103.0, 73.0
103.0, 33.0, 91.0, 105.0, 72.0
91.0, 31.0, 54.0, 91.0, 108.0
105.0, 33.0, 91.0, 108.0, 72.0
41.0, 91.0, 72.0, 41.0, 30.0
54.0, 41.0, 32.0, 51.0, 93.0
93.0, 29.0, 51.0, 93.0, 113.0
74.0, 51.0, 113.0, 75.0, 40.0
41.0, 93.0, 75.0, 40.0, 29.0
29.0, 113.0, 40.0, 29.0, 30.0
118.0, 29.0, 90.0, 120.0, 82.0
41.0, 90.0, 82.0, 42.0, 29.0
29.0, 82.0, 29.0, 28.0, 45.0
42.0, 88.0, 86.0, 43.0, 27.0
28.0, 86.0, 27.0, 27.0, 41.0
27.0, 126.0, 45.0, 27.0, 26.0
83.0, 27.0, 38.0, 78.0, 127.0
27.0, 127.0, 47.0, 27.0, 24.0
72.0, 28.0, 32.0, 65.0, 123.0
23.0, 116.0, 29.0, 22.0, 28.0
65.0, 29.0, 28.0, 56.0, 117.0
123.0, 22.0, 56.0, 117.0, 126.0
116.0, 28.0, 117.0, 126.0, 64.0
56.0, 56.0, 126.0, 64.0, 30.0
126.0, 27.0, 107.0, 133.0, 74.0
52.0, 26.0, 20.0, 41.0, 104.0
19.0, 100.0, 19.0, 17.0, 25.0
151.0, 17.0, 62.0, 140.0, 128.0
116.0, 18.0, 32.0, 88.0, 159.0
18.0, 159.0, 36.0, 19.0, 16.0
32.0, 36.0, 16.0, 25.0, 61.0
88.0, 19.0, 25.0, 61.0, 146.0
61.0, 21.0, 19.0, 41.0, 113.0
41.0, 28.0, 16.0, 28.0, 77.0
161.0, 16.0, 77.0, 163.0, 114.0
15.0, 156.0, 24.0, 15.0, 16.0
20.0, 62.0, 15.0, 16.0, 30.0
156.0, 16.0, 86.0, 173.0, 102.0
24.0, 86.0, 102.0, 34.0, 16.0
15.0, 173.0, 34.0, 16.0, 13.0
19.0, 57.0, 13.0, 14.0, 27.0
141.0, 13.0, 27.0, 87.0, 179.0
57.0, 27.0, 179.0, 103.0, 33.0
13.0, 179.0, 33.0, 15.0, 12.0
179.0, 12.0, 45.0, 136.0, 166.0
