@relation plastic
@attribute Strength real [12.4,48.7]
@attribute Temperature real [200.0,300.0]
@attribute Pressure real [10.0,20.0]
@inputs Strength,Temperature
@outputs Pressure
@data
27.9, 210, 10
22.5, 220, 20
24.2, 200, 10
28.3, 250, 16
41.9, 280, 10
42.7, 300, 16
14.7, 200, 18
42.1, 280, 10
29, 230, 14
25.3, 250, 20
27.5, 250, 18
31.7, 270, 16
28.7, 260, 16
36.6, 260, 10
30.7, 270, 16
40.5, 270, 10
42.2, 290, 10
29.8, 240, 16
36.7, 270, 10
22.7, 240, 18
28.6, 230, 12
24.8, 230, 16
33.2, 290, 18
25.9, 240, 18
32.4, 250, 10
28.2, 260, 18
46.7, 300, 12
18.7, 230, 20
18.7, 210, 18
28.8, 240, 14
27.7, 230, 12
36.6, 300, 18
41.8, 300, 16
29.8, 220, 12
34.7, 290, 18
33.9, 240, 10
22.2, 200, 12
16.7, 220, 20
37.2, 300, 16
41, 300, 16
28.8, 250, 16
18.6, 210, 18
18.3, 210, 18
36.4, 290, 14
24.5, 220, 18
38.2, 270, 10
21.7, 230, 18
40.7, 300, 14
26.7, 270, 20
25.7, 260, 20
32.6, 240, 10
29.7, 230, 10
18.2, 200, 16
17.8, 200, 20
37.7, 280, 12
26.6, 210, 10
36.2, 290, 16
31.3, 260, 16
23.7, 230, 16
31.7, 250, 12
32.2, 250, 12
19.5, 220, 20
17.3, 200, 18
25.5, 230, 16
36.6, 270, 12
33.3, 280, 18
43.3, 300, 12
42.2, 280, 10
36.5, 270, 16
41, 270, 10
21.5, 220, 18
29, 220, 12
30.6, 280, 20
37.3, 260, 10
14.2, 200, 20
28.6, 270, 20
26.7, 220, 10
25.7, 230, 14
29, 260, 20
37.3, 290, 16
31.8, 260, 18
22.8, 230, 18
33.9, 270, 16
23.3, 230, 18
22.8, 200, 12
32.2, 280, 20
35, 260, 14
27.7, 250, 16
19, 200, 18
21.5, 230, 18
32.6, 270, 16
40.7, 260, 10
25.7, 250, 18
27.7, 240, 14
30.7, 240, 10
21.7, 230, 18
26.8, 230, 14
32.6, 250, 12
24.8, 240, 18
20.5, 200, 16
23.3, 220, 16
34.2, 290, 18
39.9, 300, 16
30.7, 290, 20
23.7, 240, 18
20.7, 200, 12
21.7, 200, 12
40.2, 300, 16
42.5, 300, 16
30.7, 270, 16
25.8, 200, 12
37.5, 300, 18
42.5, 280, 10
36.7, 300, 18
20.4, 240, 20
40.2, 300, 14
32.2, 240, 10
25, 200, 12
25.7, 220, 12
18.3, 220, 20
29.5, 250, 14
28.7, 270, 20
13.7, 200, 20
24.2, 240, 18
33.5, 270, 14
25.7, 250, 18
26.5, 230, 18
26.6, 250, 18
26.7, 260, 20
25.2, 240, 16
26.6, 220, 12
28.3, 270, 20
26.4, 260, 18
26.4, 220, 10
33.2, 260, 12
21.3, 230, 20
22.7, 220, 14
22.1, 230, 20
20.7, 220, 16
31.5, 290, 20
26.2, 220, 14
35.7, 290, 16
30.2, 240, 14
28.2, 270, 20
43.5, 300, 12
24.6, 240, 18
38.7, 280, 16
30.4, 280, 18
28.1, 260, 20
22.6, 220, 16
19.7, 210, 16
35.5, 280, 14
35, 270, 16
32.2, 290, 20
27, 240, 18
24.7, 230, 14
16.6, 210, 20
26.6, 230, 14
33.5, 280, 18
34.7, 260, 10
24.5, 200, 12
48.7, 300, 10
23.7, 200, 10
40.8, 290, 12
38.4, 290, 12
45.3, 300, 10
38.2, 300, 16
19.7, 210, 16
30.1, 270, 20
33.8, 280, 20
18.7, 220, 18
39.8, 260, 10
28.7, 230, 10
37.9, 280, 14
19.7, 220, 18
40.7, 290, 16
30.6, 250, 14
40.5, 260, 10
26.8, 260, 20
30.6, 250, 14
14.7, 210, 20
25.8, 230, 18
32.7, 250, 10
26.7, 230, 12
24.7, 260, 20
15.3, 200, 20
15.7, 210, 20
30.2, 230, 10
32.7, 270, 20
32.2, 250, 12
14.4, 200, 18
24.1, 200, 12
30.5, 220, 12
27, 220, 14
33.7, 260, 12
24.7, 220, 12
38.5, 300, 20
32.5, 240, 12
22.4, 220, 14
24.6, 210, 12
34.4, 300, 18
36.8, 280, 14
34.6, 280, 16
24.3, 250, 20
26.2, 260, 20
35.8, 250, 12
34.3, 270, 14
34.5, 240, 12
34.2, 290, 18
38.7, 270, 14
30.2, 250, 16
28.1, 210, 10
19.3, 200, 16
34.7, 280, 14
20.1, 210, 18
20.2, 200, 14
34.8, 250, 10
33.5, 260, 14
40.5, 300, 16
32.2, 270, 16
17.2, 220, 20
19.5, 230, 20
20.2, 220, 20
26.5, 200, 12
29.7, 250, 14
36.5, 290, 18
22.5, 230, 20
38.1, 290, 16
41.5, 280, 10
18.7, 220, 20
17.7, 200, 16
35.8, 240, 10
39.7, 290, 12
16.2, 210, 20
27.7, 260, 18
21.2, 230, 18
23.3, 210, 14
34.3, 300, 20
30.6, 280, 20
38.8, 290, 14
31.7, 290, 20
34.5, 270, 16
34.5, 260, 14
20.5, 200, 18
36.6, 290, 16
31.2, 250, 12
24.7, 250, 18
34.1, 240, 10
20.7, 210, 14
37.9, 260, 10
29.9, 230, 12
35.7, 280, 14
44.2, 300, 10
42.3, 290, 10
18.7, 200, 14
32.1, 250, 14
35.8, 280, 18
40.6, 290, 12
28.6, 240, 14
40.7, 300, 18
30.5, 240, 16
28.5, 260, 20
38.5, 260, 12
33.9, 290, 20
32.5, 270, 18
32.7, 260, 12
20.2, 220, 18
35, 250, 12
39.3, 290, 14
26.6, 230, 14
29.2, 230, 10
28.5, 250, 18
32.5, 230, 12
45.5, 300, 10
42.6, 300, 12
24.7, 230, 16
35.5, 270, 12
30.5, 260, 18
35.9, 280, 16
35, 290, 20
24.6, 230, 16
36.5, 250, 12
34.1, 280, 18
30.3, 280, 20
26.5, 240, 20
16.3, 200, 18
20.7, 220, 16
29.8, 210, 10
17.7, 200, 16
38.5, 300, 18
45.9, 300, 10
34.1, 250, 12
25.7, 230, 14
42.1, 290, 12
34.2, 290, 18
25.7, 240, 16
25.5, 230, 14
21.2, 220, 16
32.5, 250, 16
25.7, 210, 10
38.6, 290, 14
19.9, 210, 18
28.5, 220, 12
33.8, 250, 14
28.6, 250, 16
28.5, 250, 20
37.7, 290, 14
39.9, 290, 14
32.7, 260, 18
44.7, 300, 10
19.7, 200, 14
34.5, 290, 20
27, 230, 16
34.7, 270, 12
29.9, 220, 10
30.2, 260, 16
22.7, 200, 16
28.2, 220, 12
37.8, 270, 14
25.9, 220, 14
25.2, 230, 14
33.2, 250, 10
34.8, 270, 14
34.5, 240, 10
24.6, 220, 14
22.2, 220, 16
18.6, 220, 20
28.7, 230, 16
35.9, 250, 10
28.7, 230, 12
20.3, 200, 14
36.2, 290, 16
28.6, 220, 10
30.2, 280, 20
34.2, 260, 12
22.2, 230, 18
26.1, 240, 18
22.7, 250, 20
29.3, 230, 12
33.9, 260, 14
16.2, 210, 20
45, 300, 12
36.8, 260, 10
32.7, 250, 10
42.7, 290, 10
28.7, 250, 14
23, 200, 14
40.8, 300, 14
23.3, 240, 20
27.3, 220, 12
31.3, 280, 20
32.2, 280, 18
30.7, 260, 20
32.2, 250, 14
30.2, 230, 10
37.9, 300, 18
31.3, 240, 12
20.7, 220, 18
39.5, 280, 10
43, 290, 12
15.2, 210, 20
18.2, 210, 18
27.7, 220, 10
25.5, 260, 20
16.7, 210, 18
36.5, 270, 14
33.5, 270, 16
35.2, 300, 18
38.7, 260, 12
30.7, 280, 18
41.5, 300, 12
27.3, 210, 10
44.1, 290, 10
34.7, 280, 16
24.2, 210, 12
29.3, 270, 20
16.2, 200, 18
26.2, 250, 20
27, 250, 20
15.5, 200, 20
26.2, 250, 18
30.8, 280, 20
33.2, 300, 20
27.5, 220, 12
25.5, 240, 16
42.7, 270, 10
22.6, 200, 12
22.3, 220, 16
32.2, 240, 12
24.6, 250, 20
28.2, 270, 20
43.8, 290, 12
35.7, 290, 16
44.7, 290, 12
18.6, 200, 16
40.2, 280, 10
35.5, 280, 16
14.6, 200, 20
32.2, 280, 18
30.7, 250, 12
19.9, 200, 16
41.8, 280, 12
19.5, 210, 16
21, 210, 18
30.5, 210, 10
16.7, 210, 18
13.2, 200, 20
44.2, 290, 10
20.2, 200, 14
26.2, 230, 14
18.8, 200, 16
21.7, 200, 12
29.5, 230, 10
28.5, 230, 16
38.6, 270, 10
18.6, 210, 18
36.2, 300, 18
38.4, 280, 10
22.2, 220, 18
34.6, 250, 10
25.5, 250, 20
23.9, 200, 12
32.6, 260, 14
35.9, 300, 20
37.5, 290, 14
42.2, 290, 10
22.1, 220, 18
30.1, 260, 18
22.6, 230, 18
15.5, 200, 18
34.5, 250, 12
22.7, 250, 20
30.8, 250, 14
18.7, 200, 20
30.1, 230, 12
40.2, 280, 10
40.6, 280, 10
24.5, 220, 16
34.7, 290, 16
22.2, 240, 20
45.8, 300, 12
31.5, 250, 14
33.5, 300, 20
20.6, 210, 16
32.5, 250, 14
38.8, 300, 16
44.3, 300, 10
40.3, 300, 14
26.7, 260, 18
21.7, 220, 16
30.5, 260, 20
32.3, 250, 12
28.7, 220, 10
24.6, 240, 18
34.7, 230, 10
27.5, 230, 14
38.1, 280, 14
35.2, 290, 16
40.7, 270, 12
26.6, 240, 16
28.4, 230, 10
26.4, 230, 12
46.1, 300, 10
40.4, 300, 12
31.7, 280, 18
32.8, 290, 20
27.3, 240, 16
26.7, 230, 14
36.7, 290, 16
41, 280, 12
23.2, 240, 18
24.2, 220, 16
23.5, 250, 20
21.9, 220, 18
17, 200, 20
43.8, 300, 14
42.2, 300, 12
30.7, 260, 14
30.2, 270, 18
41.5, 290, 12
17.9, 200, 18
44.5, 280, 10
34.7, 260, 10
24.7, 240, 16
28.2, 210, 10
22.6, 200, 12
39.8, 300, 18
42.2, 290, 10
29.5, 230, 12
20.4, 230, 18
16.2, 200, 18
23.8, 200, 14
20.8, 200, 14
19.5, 200, 16
24.7, 210, 12
31.5, 270, 16
30.4, 260, 14
38.2, 270, 10
24.2, 210, 12
38.2, 300, 16
34.7, 280, 20
31.7, 290, 20
38.1, 270, 12
24.3, 200, 10
35.5, 300, 18
42.7, 300, 10
23.2, 210, 12
46.2, 300, 10
40.6, 300, 14
19.8, 200, 18
22.2, 200, 12
21.7, 220, 16
25, 240, 20
32.5, 230, 10
12.7, 200, 20
44.6, 300, 10
24.7, 230, 14
22.6, 230, 18
27.5, 210, 10
30.3, 250, 14
29.9, 250, 16
32.8, 270, 16
23.7, 210, 12
23.7, 240, 18
22.1, 200, 14
17.3, 210, 20
25.2, 250, 18
34.4, 270, 12
26.6, 210, 10
32.2, 260, 14
30.7, 250, 14
36.3, 260, 10
19.7, 200, 14
33.7, 300, 20
41.7, 290, 10
37, 300, 20
26.7, 230, 12
30.2, 240, 12
28.7, 240, 12
31.8, 230, 12
42.6, 290, 10
28.2, 250, 16
28.7, 240, 14
21.7, 210, 14
28.1, 250, 18
28.1, 240, 16
39.7, 290, 12
24.7, 240, 16
35.2, 270, 12
41.8, 270, 10
24.4, 230, 14
36.5, 300, 20
43.3, 290, 10
34.7, 300, 18
37.9, 290, 16
24.2, 240, 18
30.6, 230, 10
39.7, 280, 10
21.5, 210, 16
18.7, 220, 18
28.1, 230, 14
28.8, 260, 18
20.2, 220, 18
19.3, 210, 18
26.8, 220, 12
18.4, 220, 18
39.5, 300, 16
26.3, 220, 12
27.5, 250, 16
30.6, 260, 16
40.2, 290, 12
32.5, 270, 20
27.3, 230, 14
20.4, 200, 12
22.4, 200, 10
28.7, 250, 14
26.3, 250, 18
28.2, 260, 18
32.6, 250, 12
33.5, 250, 12
22.3, 230, 18
23.8, 210, 16
26.6, 250, 18
32.7, 280, 16
30.7, 240, 12
39.3, 300, 16
32.7, 280, 16
35.2, 280, 14
36.7, 260, 10
36.6, 260, 10
31.5, 260, 16
13.5, 200, 20
27.7, 250, 16
28.2, 230, 12
31, 240, 14
34.3, 260, 12
38.5, 260, 10
40.7, 290, 10
17.5, 200, 16
27.8, 210, 12
26.3, 260, 20
24.7, 230, 20
22.5, 220, 18
20.8, 220, 18
38.7, 300, 20
38.5, 250, 10
35.3, 260, 12
25.5, 210, 10
33.3, 270, 16
28.4, 270, 18
41.9, 300, 14
23.9, 210, 14
34.3, 290, 18
27.7, 260, 18
44.1, 300, 12
32.6, 280, 18
29.3, 260, 18
14.7, 200, 18
24.7, 220, 12
26.4, 250, 16
24.8, 200, 10
38.2, 280, 12
21, 220, 20
19.5, 220, 18
37.7, 300, 16
24.5, 230, 20
34.2, 300, 20
30.2, 230, 12
38.1, 260, 10
42.4, 300, 10
38.7, 300, 16
26.7, 210, 10
16.4, 200, 16
22.7, 220, 20
12.7, 200, 20
20.7, 210, 14
21.5, 230, 20
26.5, 240, 18
22.2, 230, 18
17.7, 220, 20
36.7, 270, 12
26.4, 270, 20
30.5, 270, 20
38.2, 290, 14
26.2, 210, 10
18.2, 220, 20
34.1, 260, 14
34.8, 290, 18
25.9, 210, 12
36.6, 280, 14
24.2, 240, 20
20.6, 220, 18
31.5, 270, 18
34.7, 270, 12
23.5, 200, 12
31.2, 270, 16
18.8, 220, 20
23.9, 230, 18
38.5, 290, 16
30.2, 260, 16
28.2, 260, 20
21.2, 240, 20
40.5, 300, 18
33.9, 250, 12
38.6, 280, 12
24.5, 200, 14
17.5, 200, 18
40.2, 300, 14
36.7, 250, 12
36.3, 280, 14
44.7, 280, 10
31.9, 250, 14
40.2, 290, 12
23.7, 230, 16
23.5, 240, 18
39.3, 270, 10
48.5, 300, 10
46.5, 300, 10
22.7, 200, 12
20.1, 220, 20
34.7, 270, 14
28.8, 230, 12
27.7, 230, 12
32.7, 290, 20
30.2, 270, 18
42.7, 300, 12
28.5, 230, 14
18.6, 220, 20
26.2, 240, 18
24.3, 230, 16
20.8, 230, 20
23.5, 210, 14
33.8, 230, 10
22.7, 230, 16
36.5, 280, 16
40.8, 280, 10
37.5, 280, 12
24.5, 210, 16
40.3, 290, 12
22.2, 210, 14
40.5, 280, 14
19.5, 210, 18
16.2, 200, 20
30.8, 230, 10
38.6, 300, 16
34.5, 280, 18
25.7, 220, 12
27.5, 220, 10
25.8, 210, 14
36.7, 240, 10
34.8, 260, 12
18.2, 220, 20
28.4, 280, 20
21.5, 210, 14
22.4, 250, 20
37.2, 270, 10
28.6, 220, 10
36.2, 300, 18
35.2, 260, 10
28.4, 260, 16
38.2, 300, 16
46.5, 300, 12
34.7, 290, 16
14.3, 200, 20
24.2, 220, 14
24.2, 250, 20
38.2, 280, 12
27.9, 220, 12
32.8, 280, 18
34.7, 280, 14
20.6, 200, 14
23.9, 240, 20
32.6, 240, 10
35.9, 260, 12
32.1, 230, 10
41.3, 300, 14
24.7, 250, 20
22.4, 210, 12
24.6, 200, 10
26.6, 260, 20
24.2, 220, 14
28.7, 200, 10
23.5, 220, 14
30.6, 230, 10
32.6, 280, 18
37.7, 280, 12
34.6, 270, 14
28.2, 220, 10
29.7, 240, 12
14.6, 200, 20
32.1, 260, 16
20.7, 240, 20
32.7, 270, 14
23.9, 220, 16
33.3, 260, 14
32.7, 300, 20
25.5, 240, 18
28.2, 250, 16
26.2, 210, 12
27.3, 260, 20
24.2, 230, 16
23.5, 230, 16
41.7, 300, 12
41.9, 290, 12
38.5, 290, 18
23.7, 200, 10
19.5, 200, 14
31.2, 240, 10
38.3, 280, 12
30.4, 250, 12
27.7, 240, 14
34.2, 260, 14
44.5, 290, 10
26.1, 210, 12
44.8, 300, 10
30.5, 230, 12
43.5, 290, 10
30.7, 220, 12
34.7, 300, 18
32.2, 270, 16
31, 220, 10
21.7, 240, 20
20.7, 200, 14
28.7, 270, 18
37.5, 300, 16
36.1, 300, 20
25, 220, 16
34.5, 270, 18
31, 230, 12
39.9, 270, 10
20.6, 200, 14
39, 270, 12
40.7, 300, 12
26.2, 220, 12
39.2, 290, 12
40.7, 290, 12
40.1, 300, 16
30.3, 270, 18
31, 270, 20
27.9, 250, 18
36.8, 290, 16
26.1, 230, 16
24.1, 240, 20
34.2, 250, 10
25.7, 240, 16
38.7, 290, 14
23.3, 200, 12
37.8, 290, 18
26.8, 240, 16
41.2, 300, 12
26.2, 230, 16
25.9, 230, 16
34.7, 260, 16
40.4, 290, 10
16.1, 200, 20
24.6, 230, 16
32.1, 280, 20
21.5, 220, 16
17.5, 220, 20
36.1, 280, 16
32.7, 300, 20
36.1, 260, 12
26.2, 210, 10
22.5, 210, 18
34.2, 260, 12
30.5, 240, 14
34.2, 270, 14
24.2, 210, 12
29.5, 270, 18
32.7, 280, 18
31.9, 270, 18
24.2, 250, 20
20.6, 220, 18
41.3, 280, 10
34.7, 240, 12
28.3, 220, 10
21.8, 210, 18
20.2, 200, 16
34.2, 250, 12
23.2, 230, 16
36.7, 280, 12
26.5, 250, 20
20.7, 230, 18
44.5, 300, 12
31.7, 260, 14
28.2, 220, 10
42.7, 290, 14
32.2, 240, 10
40.5, 280, 12
36.2, 280, 14
28.2, 240, 16
36.7, 300, 16
29.7, 280, 20
36.7, 280, 12
36.4, 270, 10
42.2, 290, 12
35.3, 290, 18
21.9, 200, 14
18.4, 210, 16
45.8, 290, 10
37.2, 290, 14
26.1, 250, 20
34.2, 260, 12
39.5, 270, 10
30.2, 250, 14
33.7, 300, 20
31.5, 280, 20
35.3, 280, 16
27.9, 240, 16
42.5, 280, 12
38.7, 280, 10
31.2, 280, 18
23.5, 200, 10
44.2, 300, 10
42.2, 300, 12
34.7, 260, 12
15.9, 200, 20
30.2, 270, 20
30.2, 220, 10
29.8, 250, 18
39.8, 290, 16
31.5, 280, 18
36.2, 250, 10
41.7, 290, 10
29.8, 260, 20
28.6, 260, 18
18.2, 200, 18
35.5, 290, 16
26.2, 220, 12
30.2, 280, 20
28.3, 240, 14
31.7, 280, 18
38.8, 270, 10
18.2, 220, 20
28.2, 260, 18
22.3, 200, 12
37.8, 250, 10
28.7, 250, 20
31.7, 260, 14
31.8, 240, 14
30.5, 230, 14
36.7, 260, 14
30.7, 280, 20
37.5, 280, 14
36.7, 270, 16
35.9, 270, 14
31.9, 280, 20
39, 280, 14
32.5, 280, 20
33.3, 290, 20
20.3, 210, 16
38.2, 290, 14
20.6, 230, 20
30.7, 210, 10
34.6, 260, 12
34.2, 270, 14
38.5, 270, 14
22.2, 230, 20
20.1, 200, 16
39.7, 300, 14
36.7, 300, 16
24.7, 220, 18
20.2, 210, 16
38.2, 270, 12
22.7, 200, 10
30.1, 240, 14
28.7, 280, 20
39.8, 280, 14
38.2, 280, 14
34.2, 280, 16
22.7, 220, 16
30.2, 260, 16
36.7, 270, 10
33.3, 240, 10
24.8, 210, 12
36.7, 280, 18
32.3, 270, 16
31.5, 240, 10
37, 290, 18
40.7, 280, 14
31.7, 240, 10
25.5, 250, 18
27.2, 260, 18
18.7, 210, 16
23.7, 250, 20
32.7, 250, 12
33.7, 290, 18
21, 200, 16
35.9, 290, 18
33.7, 270, 14
20.2, 230, 20
31.8, 220, 10
26.7, 260, 18
39.2, 280, 10
29.2, 280, 20
32.2, 240, 10
35.3, 250, 10
29, 250, 18
30.2, 270, 18
18.3, 200, 16
27.2, 240, 14
35.7, 270, 12
47, 300, 10
26.2, 250, 18
16.4, 220, 20
28.7, 240, 18
37, 250, 10
40.5, 270, 12
36.6, 290, 16
35.7, 300, 18
24.6, 220, 14
26.2, 210, 10
42.5, 290, 14
31.3, 250, 14
29.7, 260, 16
26.2, 260, 20
19, 210, 20
20.7, 200, 18
35.8, 260, 14
17.2, 210, 18
32.5, 260, 18
37.3, 270, 12
36.1, 250, 10
15.7, 200, 18
26.2, 240, 16
39.5, 290, 12
25.9, 250, 20
31.8, 250, 16
24.7, 200, 10
36.3, 300, 18
24.8, 220, 14
24.5, 210, 14
32.2, 270, 18
36.5, 260, 12
38.6, 270, 10
32.2, 260, 14
42.7, 300, 10
26.7, 220, 12
32.7, 290, 18
31.2, 290, 20
28.2, 220, 10
27, 200, 10
32.6, 290, 20
22.7, 210, 12
21.3, 200, 14
33.3, 250, 12
35.5, 290, 18
28.2, 240, 14
32.2, 290, 20
20.8, 210, 16
35.7, 300, 18
43.7, 300, 10
22.2, 240, 20
27.5, 240, 16
35.5, 260, 10
28.7, 280, 20
16.7, 200, 16
21.8, 220, 20
19.3, 220, 20
41.8, 290, 14
35, 240, 10
20.6, 230, 20
30.7, 230, 10
32.3, 260, 14
28.7, 210, 12
32.8, 260, 14
20.6, 210, 16
33.9, 280, 18
16.7, 200, 16
26.2, 220, 12
19.7, 220, 18
31.8, 270, 20
12.4, 200, 20
40.5, 290, 14
22.7, 210, 18
37.3, 300, 18
22.3, 210, 14
25.3, 240, 18
32.5, 260, 16
27.5, 260, 18
36.2, 280, 16
38.7, 250, 10
36.2, 300, 18
38.7, 280, 10
41.5, 300, 14
32.7, 270, 16
16.7, 220, 20
25.9, 200, 10
37.7, 300, 16
21.2, 200, 12
31, 260, 18
42.8, 300, 12
29.7, 240, 12
17.2, 200, 16
38.7, 300, 14
40.5, 290, 16
36.5, 260, 14
26.8, 210, 10
29.2, 240, 12
36.6, 300, 18
36.7, 280, 14
32.2, 260, 16
30.2, 240, 12
22.2, 240, 20
17.7, 220, 20
20.3, 230, 20
36.2, 300, 20
39.5, 280, 12
38.3, 300, 16
16.7, 210, 20
24.4, 240, 16
30.2, 280, 20
29.2, 270, 18
26.6, 240, 16
26.1, 200, 10
25.7, 260, 20
29.9, 270, 20
33.5, 250, 10
29.3, 220, 10
28.5, 240, 16
23.8, 220, 18
27.5, 230, 12
34.5, 260, 16
31.9, 240, 12
20.2, 210, 16
24.5, 240, 20
20.5, 210, 20
22.7, 240, 18
32.7, 220, 10
16.2, 210, 20
36.2, 290, 16
25.3, 210, 12
22.6, 240, 20
28.6, 260, 18
20.2, 220, 18
22.7, 230, 16
27.2, 270, 20
28.2, 250, 16
30.7, 280, 18
26.2, 200, 10
34.8, 300, 20
38.7, 290, 12
30.7, 260, 14
30.6, 270, 18
42.1, 300, 14
19.9, 220, 20
21.9, 210, 16
37, 280, 16
33.7, 280, 16
43, 280, 10
26.7, 240, 20
24.2, 210, 14
34.5, 280, 20
25.2, 210, 10
