Strength,Temperature,Pressure
36.7, 280, 18
32.3, 270, 16
31.5, 240, 10
37, 290, 18
40.7, 280, 14
31.7, 240, 10
25.5, 250, 18
27.2, 260, 18
18.7, 210, 16
23.7, 250, 20
32.7, 250, 12
33.7, 290, 18
21, 200, 16
35.9, 290, 18
33.7, 270, 14
20.2, 230, 20
31.8, 220, 10
26.7, 260, 18
39.2, 280, 10
29.2, 280, 20
32.2, 240, 10
35.3, 250, 10
29, 250, 18
30.2, 270, 18
18.3, 200, 16
27.2, 240, 14
35.7, 270, 12
47, 300, 10
26.2, 250, 18
16.4, 220, 20
28.7, 240, 18
37, 250, 10
40.5, 270, 12
36.6, 290, 16
35.7, 300, 18
24.6, 220, 14
26.2, 210, 10
42.5, 290, 14
31.3, 250, 14
29.7, 260, 16
26.2, 260, 20
19, 210, 20
20.7, 200, 18
35.8, 260, 14
17.2, 210, 18
32.5, 260, 18
37.3, 270, 12
36.1, 250, 10
15.7, 200, 18
26.2, 240, 16
39.5, 290, 12
25.9, 250, 20
31.8, 250, 16
24.7, 200, 10
36.3, 300, 18
24.8, 220, 14
24.5, 210, 14
32.2, 270, 18
36.5, 260, 12
38.6, 270, 10
32.2, 260, 14
42.7, 300, 10
26.7, 220, 12
32.7, 290, 18
31.2, 290, 20
28.2, 220, 10
27, 200, 10
32.6, 290, 20
22.7, 210, 12
21.3, 200, 14
33.3, 250, 12
35.5, 290, 18
28.2, 240, 14
32.2, 290, 20
20.8, 210, 16
35.7, 300, 18
43.7, 300, 10
22.2, 240, 20
27.5, 240, 16
35.5, 260, 10
28.7, 280, 20
16.7, 200, 16
21.8, 220, 20
19.3, 220, 20
41.8, 290, 14
35, 240, 10
20.6, 230, 20
30.7, 230, 10
32.3, 260, 14
28.7, 210, 12
32.8, 260, 14
20.6, 210, 16
33.9, 280, 18
16.7, 200, 16
26.2, 220, 12
19.7, 220, 18
31.8, 270, 20
12.4, 200, 20
40.5, 290, 14
22.7, 210, 18
37.3, 300, 18
22.3, 210, 14
25.3, 240, 18
32.5, 260, 16
27.5, 260, 18
36.2, 280, 16
38.7, 250, 10
36.2, 300, 18
38.7, 280, 10
41.5, 300, 14
32.7, 270, 16
16.7, 220, 20
25.9, 200, 10
37.7, 300, 16
21.2, 200, 12
31, 260, 18
42.8, 300, 12
29.7, 240, 12
17.2, 200, 16
38.7, 300, 14
40.5, 290, 16
36.5, 260, 14
26.8, 210, 10
29.2, 240, 12
36.6, 300, 18
36.7, 280, 14
32.2, 260, 16
30.2, 240, 12
22.2, 240, 20
17.7, 220, 20
20.3, 230, 20
36.2, 300, 20
39.5, 280, 12
38.3, 300, 16
16.7, 210, 20
24.4, 240, 16
30.2, 280, 20
29.2, 270, 18
26.6, 240, 16
26.1, 200, 10
25.7, 260, 20
29.9, 270, 20
33.5, 250, 10
29.3, 220, 10
28.5, 240, 16
23.8, 220, 18
27.5, 230, 12
34.5, 260, 16
31.9, 240, 12
20.2, 210, 16
24.5, 240, 20
20.5, 210, 20
22.7, 240, 18
32.7, 220, 10
16.2, 210, 20
36.2, 290, 16
25.3, 210, 12
22.6, 240, 20
28.6, 260, 18
20.2, 220, 18
22.7, 230, 16
27.2, 270, 20
28.2, 250, 16
30.7, 280, 18
26.2, 200, 10
34.8, 300, 20
38.7, 290, 12
30.7, 260, 14
30.6, 270, 18
42.1, 300, 14
19.9, 220, 20
21.9, 210, 16
37, 280, 16
33.7, 280, 16
43, 280, 10
26.7, 240, 20
24.2, 210, 14
34.5, 280, 20
25.2, 210, 10
