Strength,Temperature,Pressure
42.1, 280, 10
29, 230, 14
25.3, 250, 20
27.5, 250, 18
31.7, 270, 16
28.7, 260, 16
36.6, 260, 10
30.7, 270, 16
40.5, 270, 10
42.2, 290, 10
29.8, 240, 16
36.7, 270, 10
22.7, 240, 18
28.6, 230, 12
24.8, 230, 16
33.2, 290, 18
25.9, 240, 18
32.4, 250, 10
28.2, 260, 18
46.7, 300, 12
18.7, 230, 20
18.7, 210, 18
28.8, 240, 14
27.7, 230, 12
36.6, 300, 18
41.8, 300, 16
29.8, 220, 12
34.7, 290, 18
33.9, 240, 10
22.2, 200, 12
16.7, 220, 20
37.2, 300, 16
41, 300, 16
28.8, 250, 16
18.6, 210, 18
18.3, 210, 18
36.4, 290, 14
24.5, 220, 18
38.2, 270, 10
21.7, 230, 18
40.7, 300, 14
26.7, 270, 20
25.7, 260, 20
32.6, 240, 10
29.7, 230, 10
18.2, 200, 16
17.8, 200, 20
37.7, 280, 12
26.6, 210, 10
36.2, 290, 16
31.3, 260, 16
23.7, 230, 16
31.7, 250, 12
32.2, 250, 12
19.5, 220, 20
17.3, 200, 18
25.5, 230, 16
36.6, 270, 12
33.3, 280, 18
43.3, 300, 12
42.2, 280, 10
36.5, 270, 16
41, 270, 10
21.5, 220, 18
29, 220, 12
30.6, 280, 20
37.3, 260, 10
14.2, 200, 20
28.6, 270, 20
26.7, 220, 10
25.7, 230, 14
29, 260, 20
37.3, 290, 16
31.8, 260, 18
22.8, 230, 18
33.9, 270, 16
23.3, 230, 18
22.8, 200, 12
32.2, 280, 20
35, 260, 14
27.7, 250, 16
19, 200, 18
21.5, 230, 18
32.6, 270, 16
40.7, 260, 10
25.7, 250, 18
27.7, 240, 14
30.7, 240, 10
21.7, 230, 18
26.8, 230, 14
32.6, 250, 12
24.8, 240, 18
20.5, 200, 16
23.3, 220, 16
34.2, 290, 18
39.9, 300, 16
30.7, 290, 20
23.7, 240, 18
20.7, 200, 12
21.7, 200, 12
40.2, 300, 16
42.5, 300, 16
30.7, 270, 16
25.8, 200, 12
37.5, 300, 18
42.5, 280, 10
36.7, 300, 18
20.4, 240, 20
40.2, 300, 14
32.2, 240, 10
25, 200, 12
25.7, 220, 12
18.3, 220, 20
29.5, 250, 14
28.7, 270, 20
13.7, 200, 20
24.2, 240, 18
