@relation plastic
@attribute Strength real [12.4,48.7]
@attribute Temperature real [200.0,300.0]
@attribute Pressure real [10.0,20.0]
@inputs Strength,Temperature
@outputs Pressure
@data
23.7, 220, 14
20.4, 210, 14
30.4, 270, 16
25.7, 210, 10
34.3, 250, 10
26.2, 230, 14
16.3, 210, 20
33.8, 260, 16
38.3, 290, 14
31.3, 230, 10
28.4, 240, 12
16.6, 200, 18
23, 210, 16
24.4, 250, 18
27.8, 240, 18
19.2, 220, 18
25.5, 210, 12
23.5, 240, 20
22.5, 210, 16
40.6, 290, 12
25, 210, 14
37, 270, 14
24.6, 210, 12
26.5, 210, 12
28.6, 230, 12
38.2, 300, 18
32.3, 290, 20
23.7, 250, 20
21.5, 200, 14
28.2, 230, 12
27.8, 230, 16
40.3, 280, 10
28.2, 240, 14
33.7, 250, 10
40.1, 290, 14
36.5, 290, 20
30.2, 230, 10
22.2, 220, 16
20.7, 210, 16
15.2, 200, 18
39, 300, 18
35.5, 260, 12
24.7, 210, 10
30.7, 230, 14
34.1, 290, 20
38.2, 270, 10
34.7, 250, 14
24.2, 200, 10
23, 230, 20
21.9, 230, 20
